aisle,item,amount,unit
dairy,mozzarella cheese ball,1,lbs
dairy,mozzarella cheese shredded,1,lbs
meat,boneless skinless chicken breasts,1.5,lbs
meat,boneless skinless chicken thighs,4,lbs
meat,genoa salami,8,oz
meat,pepperonis,1,lbs
meat,shrimp,1.5,lbs
pantry,capers,6,oz
pantry,coconut milk,2,cans
pantry,flour tortillas,12,ct
pantry,normal ass wheat bread,1,loaf
pantry,sourdough bread,1,loaf
pantry,soy sauce,8,oz
pantry,various pastas,3,lbs
produce,baby carrots,1,bag
produce,baby potatoes,2,lbs
produce,baby spinach,1,lbs
produce,banana pepper,1,ct
produce,basil,1,bunch
produce,bell peppers,7,ct
produce,cilantro,1,bunch
produce,garlic,2,head
produce,ginger,1,knob
produce,grape tomatoes,8,oz
produce,green onions,1,bunch
produce,lemons,4,ct
produce,limes,7,ct
produce,onions,3,ct
produce,romaine lettuce,2,heads
produce,serrano,3,ct